Name,Neighborhood,Address,Cuisine,Price
Panda Inn,Pasadena,"3488 E Foothill Blvd, Pasadena, CA 91107, USA",Chinese American,$$
Soowon Galbi,Koreatown,"856 Vermont Ave B, Los Angeles, CA 90005, USA",Korean,$$
Kang Kang Food Court,Alhambra,"27 E Valley Blvd, Alhambra, CA 91801, USA",Chinese,$
El Bacano,North Hollywood,"13009 1/2 Victory Blvd, North Hollywood, CA 91606, USA",Dominican,$
Surawon Tofu House,Koreatown,"2833 W Olympic Blvd, Los Angeles, CA 90006, USA",Korean,
M Joy,San Gabriel Valley,"301 W Valley Blvd Ste 109, San Gabriel, CA 91776, USA",Halal,$
Rajdhani,Artesia,"18525 Pioneer Blvd 2nd floor, Artesia, CA 90701, USA",Indian,$$
Macheen,Boyle Heights,"2633 E Cesar E Chavez Ave, Los Angeles, CA 90033, USA",Mexican,$
Sincerely Syria,Sherman Oaks,"14518 Ventura Blvd, Sherman Oaks, CA 91403, USA",Syrian,$
Mario's Butcher Shop,Newport Beach,"1000 Bristol St N, Newport Beach, CA 92660, USA",Butcher Shop,$
Backbone,Glendale,"3463 N Verdugo Rd, Glendale, CA 91208, USA",Eclectic,$$
Perle,Pasadena,"43 Union St, Pasadena, CA 91103, USA",French,$$$
Bistro Na's,Temple City,"9055 Las Tunas Dr #105, Temple City, CA 91780, USA",Chinese,$$$
Las Segovias,South Gate,"8014 Seville Ave, Huntington Park, CA 90255, USA",Nicaraguan,$
Lalibela,Little Ethiopia,"1025 S Fairfax Ave, Los Angeles, CA 90019, USA",Ethiopian,$$
Phởholic,Garden Grove,"14932 Bushard St, Westminster, CA 92683, USA",Vietnamese,$$
Lum-Ka-Naad,Northridge,"8910 Reseda Blvd, Northridge, CA 91324, USA",Thai,$$
Casa Gish Bac,Pico-Union,"1436 S Vermont Ave, Los Angeles, CA 90006, USA",Oaxacan,$
Tomat,Westchester,"6261 W 87th St, Los Angeles, CA 90045, USA",Californian,$$
Petit Trois,Hollywood,"718 Highland Ave, Los Angeles, CA 90038, USA",French,$$$
Somerville,View Park-Windsor Hills,"4437 W Slauson Ave, View Park-Windsor Hills, CA 90043, USA",New American,$$$
Barsha,Hermosa Beach,"1141 Aviation Blvd, Hermosa Beach, CA 90254, USA",Middle Eastern cuisine,$$
Found Oyster,East Hollywood,"4880 Fountain Ave, Los Angeles, CA 90029, USA",Seafood,$$
Los Sabrosos Al Horno,Cudahy,"4901 Patata St, Cudahy, CA 90201",Mexican,$
Pine & Crane,Downtown L.A.,"1120 S Grand Ave Unit 101, Los Angeles, CA 90015, USA",Taiwanese,$$
Tacos Los Cholos,Huntington Park,"7127 Pacific Blvd, Huntington Park, CA 90255, USA",Mexican,$
Budonoki,East Hollywood,"654 N Virgil Ave Unit 101, Los Angeles, CA 90004, USA",Japanese,$$
Bar Amá,Downtown L.A.,"FARMERS AND MERCHANTS BANK BUILDING, 118 4th St, Los Angeles, CA 90013, USA",Tex-Mex,$$
Hakata Izakaya Hero,West Los Angeles,"1929 Westwood Blvd, Los Angeles, CA 90025, USA",Japanese,$$
Osteria Mozza,Hancock Park,"6602 Melrose Ave, Los Angeles, CA 90038, USA",Italian,$$$
Biriyani Kabob House,Koreatown,"3525 W 3rd St, Los Angeles, CA 90020, USA",Halal,$
Darkroom,Santa Ana,"3751 S Harbor Blvd suite c, Santa Ana, CA 92704, USA",Eclectic,$$$
Pizzeria Bianco,Downtown L.A.,"1320 E 7th St Suite 100, Los Angeles, CA 90021, USA",Pizza,$$
Delmy's Pupusas,Atwater Village,"3528 Larga Ave, Los Angeles, CA 90039, USA",Salvadoran,$
Borit Gogae,Koreatown,"3464 W 8th St, Los Angeles, CA 90005, USA",Korean,$$
Lorenzo California,Beverly Hills,"9529 S Santa Monica Blvd, Beverly Hills, CA 90210, USA",Sandwich Shop,$$
Stir Crazy,Hollywood,"6903 Melrose Ave, Los Angeles, CA 90038, USA",Wine Bars,$$
Dolan's Uyghur Cuisine,Alhambra,"742 W Valley Blvd, Alhambra, CA 91803, USA",Uyghur,
Kuya Lord,East Hollywood,"5003 Melrose Ave, Los Angeles, CA 90038, USA",Filipino,$$
Heritage Barbecue,San Juan Capistrano,"31721 Camino Capistrano, San Juan Capistrano, CA 92675, USA",Barbecue,$$
Cosetta,Santa Monica,"3150 Ocean Park Blvd, Santa Monica, CA 90405, USA",Italian,$$
Bar Etoile,East Hollywood,"632 N Western Ave, Los Angeles, CA 90004, USA",French,$$
Majordomo,Chinatown,"1725 Naud St, Los Angeles, CA 90012, USA",American,$$$
Henry's Cuisine,Alhambra,"301 E Valley Blvd, Alhambra, CA 91801, USA",Cantonese,$$
Dulan's on Crenshaw,Hyde Park,"4859 Crenshaw Blvd, Los Angeles, CA 90043, USA",Southern,$$
Alto,Studio City,"12969 Ventura Blvd, Studio City, CA 91604, USA",Argentinian,$$$
Bridgetown Roti,East Hollywood,"858 N Vermont Ave, Los Angeles, CA 90029, USA",Caribbean,$
Evil Cooks,El Sereno,"3333 N Eastern Ave, Los Angeles, CA 90032, USA",Mexican,$$
Si! Mon,Venice,"60 N Venice Blvd, Venice, CA 90291, USA",Panamanian,$$
Baby Bistro,Chinatown,"1027 Alpine St, Los Angeles, CA 90012, USA",Californian,$$
Somni,West Hollywood,"9045 Nemo St, West Hollywood, CA 90069, USA",Spanish,$$$$
Cafe 2001,Downtown L.A.,"2001 E 7th St North Entrance, Los Angeles, CA 90021, USA",French-Japanese-California,
Rustic Canyon,Santa Monica,"1119 Wilshire Blvd, Santa Monica, CA 90401, USA",American,$$$
Yang's Kitchen,Alhambra,"112 W Main St, Alhambra, CA 91801, USA",Chinese,$$
Mini Kabob,Glendale,"313 1/2 Vine St, Glendale, CA 91204, USA",Armenian,$$
Mae Malai,Los Feliz,"5445 Hollywood Blvd unit a, Los Angeles, CA 90027, USA",Thai,$
Alta Adams,West Adams,"5359 W Adams Blvd, Los Angeles, CA 90016, USA",Breakfast/Brunch,$$
Ammatolí,Long Beach,"285 E 3rd St, Long Beach, CA 90802, USA",Middle Eastern,$$
